"","block.address","Vacant_Pr","Occupied_Pr","NumofBuilding","SURA","Units","YearBuilt","AssessedVa","Aggravated.assault","Arson","Burglary","Larceny","Murder","Robbery","Vehicle.theft","Total"
"100 block kirkpatrick st","100 block kirkpatrick st",0.2,0.8,5,5,1.8,1921.6,37160,0,0,0,0,0,0,0,0
"100 block kirkwood pl","100 block kirkwood pl",0.25,0.75,4,4,1,1907.5,23450,0,0,0,0,0,0,0,0
"100 block kline st","100 block kline st",0,1,5,0,1,1947,127480,0,0,0,0,0,0,0,0
"100 block knaul st","100 block knaul st",0.142857142857143,0.857142857142857,14,14,1.14285714285714,1915.71428571429,41857.1428571429,0,0,0,0,0,0,0,0
"100 block kramer dr","100 block kramer dr",0,1,3,0,1,1969,73933.3333333333,0,0,0,0,0,0,0,0
"100 block kuhl av","100 block kuhl av",0,1,31,0,1.12903225806452,1933.74193548387,71938.7096774193,0,0,0,31,0,0,0,31
"100 block lacy pl","100 block lacy pl",0,1,3,3,1,1913.33333333333,42566.6666666667,0,0,0,0,0,0,0,0
"100 block lafayette av e","100 block lafayette av e",0.222222222222222,0.777777777777778,9,9,1.44444444444444,1902.44444444444,37911.1111111111,0,0,9,9,0,0,0,18
"100 block lafayette av w","100 block lafayette av w",0.208333333333333,0.791666666666667,24,24,1.33333333333333,1922.29166666667,39533.3333333333,0,0,0,24,0,0,0,24
"100 block lafayette rd","100 block lafayette rd",0,1,10,0,76.7,1956.2,1778200,0,0,80,100,0,0,0,180
"100 block lakeview av","100 block lakeview av",0.0952380952380952,0.904761904761905,42,42,2.0952380952381,1912.7380952381,43588.0952380952,84,0,126,42,0,42,0,294
"100 block lamson st","100 block lamson st",0,1,11,0,1.36363636363636,1941.36363636364,77763.6363636364,0,0,0,0,0,0,0,0
"100 block landon av","100 block landon av",0,1,5,5,1,1916,34200,0,0,0,0,0,0,0,0
"100 block latter dr","100 block latter dr",0,1,2,0,1,1960.5,69100,0,0,2,0,0,0,0,2
"100 block lawrence st","100 block lawrence st",0.0294117647058824,0.970588235294118,34,34,1.17647058823529,1910.70588235294,45064.7058823529,0,0,34,68,0,0,34,136
"100 block lewis st","100 block lewis st",0,1,5,5,1.4,1887.8,54980,0,0,5,0,0,0,0,5
"100 block lexington av","100 block lexington av",0,1,9,9,2.22222222222222,1904.44444444444,48355.5555555556,0,0,0,18,0,0,0,18
"100 block liberty st","100 block liberty st",0,1,11,11,1.81818181818182,1906.81818181818,48654.5454545455,0,0,0,0,0,0,0,0
"100 block lilac st","100 block lilac st",0,1,21,21,2,1905.47619047619,58461.9047619048,0,0,42,0,0,0,21,63
"100 block lillian av","100 block lillian av",0,1,7,0,1.42857142857143,1914.28571428571,63185.7142857143,0,0,7,0,0,0,0,7
"100 block lincoln av","100 block lincoln av",0.0384615384615385,0.961538461538462,26,26,1.84615384615385,1937.73076923077,40857.6923076923,0,0,0,26,0,0,0,26
"100 block lincoln pk dr","100 block lincoln pk dr",0,1,23,23,1.39130434782609,1902.47826086957,71452.1739130435,0,0,0,0,0,0,0,0
"100 block lock alley","100 block lock alley",1,0,1,1,1,1880,28200,0,0,0,0,0,0,0,0
"100 block lockwood rd","100 block lockwood rd",0,1,18,0,1,1946.22222222222,121338.888888889,0,0,0,0,0,0,0,0
"100 block loehr av","100 block loehr av",0.0769230769230769,0.923076923076923,13,13,1.84615384615385,1905.38461538462,52284.6153846154,13,0,0,0,0,0,0,13
"100 block loma av","100 block loma av",0,1,32,0,1.15625,1930.5625,69110.9375,0,0,0,32,0,0,0,32
"100 block lombard st","100 block lombard st",0,1,1,1,2,1920,55000,0,0,0,0,0,0,0,0
"100 block long meadow cir","100 block long meadow cir",0,1,6,0,1,1961.83333333333,96783.3333333333,0,0,0,0,0,0,0,0
"100 block long meadow circle","100 block long meadow circle",0,1,2,0,1,1964,88300,0,0,0,0,0,0,0,0
"100 block long meadow dr","100 block long meadow dr",0,1,13,0,1,1962.07692307692,86092.3076923077,0,0,0,0,0,0,0,0
"100 block loomis av","100 block loomis av",0.166666666666667,0.833333333333333,6,6,1,1945.5,43491.6666666667,0,0,0,0,0,0,0,0
"100 block lorraine av","100 block lorraine av",0,1,5,0,1,1929.8,56280,0,0,5,0,0,0,0,5
"100 block lorraine av n","100 block lorraine av n",0,1,7,0,2,1974.57142857143,88000,0,0,0,7,0,0,0,7
"100 block lowell av n","100 block lowell av n",0.0833333333333333,0.916666666666667,12,0,2.08333333333333,1918,89950,0,0,0,24,0,0,0,24
"100 block lowell av s","100 block lowell av s",0,1,7,0,2.28571428571429,1905.71428571429,96785.7142857143,0,0,0,14,0,7,0,21
"100 block luddington st","100 block luddington st",0,1,24,0,1.04166666666667,1941.66666666667,66916.6666666667,0,0,0,48,0,0,0,48
"100 block lydell st","100 block lydell st",0.0434782608695652,0.956521739130435,23,23,1.08695652173913,1917.52173913043,46865.2173913043,0,0,0,0,0,0,0,0
"100 block lynch av","100 block lynch av",0,1,2,2,1,1938,39500,0,0,0,0,0,0,0,0
"100 block lynch st","100 block lynch st",1,0,1,1,1,1910,20000,0,0,0,0,0,0,0,0
"100 block lynhurst av w","100 block lynhurst av w",0.0645161290322581,0.935483870967742,31,31,1.19354838709677,1957.09677419355,45748.3870967742,31,0,62,0,0,0,31,124
"100 block lynn cir","100 block lynn cir",0,1,18,0,1,1968.55555555556,97283.3333333333,0,0,36,18,0,0,0,54
"100 block lynwood av","100 block lynwood av",0.0555555555555556,0.944444444444444,18,0,1.83333333333333,1922.66666666667,78027.7777777778,0,0,0,18,0,0,18,36
"100 block macdougall pl","100 block macdougall pl",0,1,6,0,1,1958.66666666667,69100,0,0,0,0,0,0,0,0
"100 block magnolia st","100 block magnolia st",0.0833333333333333,0.916666666666667,12,12,1.33333333333333,1885,33941.6666666667,0,0,0,0,0,0,0,0
"100 block mains av","100 block mains av",0,1,2,2,23,1965,460000,0,0,0,0,0,0,2,2
"100 block malcolm st","100 block malcolm st",0.125,0.875,8,8,1.5,1911.875,34237.5,0,0,0,0,0,0,0,0
"100 block malverne dr","100 block malverne dr",0.03125,0.96875,32,0,1.15625,1927.03125,71468.75,0,0,0,0,0,0,0,0
"100 block manilla st","100 block manilla st",0.222222222222222,0.777777777777778,9,9,1.33333333333333,1937.88888888889,46877.7777777778,0,0,0,9,0,0,0,9
"100 block manor dr","100 block manor dr",0,1,20,0,1,1954.95,86765,0,0,0,20,0,0,0,20
"100 block maple terr","100 block maple terr",0,1,39,0,1.07692307692308,2008,105065.384615385,0,0,0,0,0,0,0,0
"100 block maplehurst av","100 block maplehurst av",0,1,39,0,1,1927.33333333333,63702.5641025641,0,0,0,78,0,0,0,78
"100 block maplewood av","100 block maplewood av",0.0571428571428571,0.942857142857143,35,0,1.02857142857143,1933.2,69665.7142857143,0,0,70,35,0,0,0,105
"100 block marcia st","100 block marcia st",0,1,3,0,1,1962.66666666667,73133.3333333333,0,0,0,0,0,0,0,0
"100 block mariposa st","100 block mariposa st",0,1,14,0,1.57142857142857,1931.92857142857,68950,0,0,0,0,0,0,0,0
"100 block maris dr","100 block maris dr",0,1,12,0,1.91666666666667,1965.25,79208.3333333333,0,0,0,0,0,0,0,0
"100 block marjory st","100 block marjory st",0,1,5,0,1,1941.4,63940,0,0,0,0,0,0,0,0
"100 block mark av","100 block mark av",0.25,0.75,16,16,1.5,1917,42312.5,0,0,16,16,0,0,0,32
"100 block markland av","100 block markland av",0,1,8,0,1.25,1916.875,51662.5,0,0,8,0,0,0,0,8
"100 block marlborough rd","100 block marlborough rd",0,1,10,0,2,1932,80850,0,0,10,0,0,0,0,10
"100 block marlette st","100 block marlette st",0,1,3,3,1,1938.33333333333,57500,0,0,0,0,0,0,0,0
"100 block martin luthr king w","100 block martin luthr king w",0,1,4,4,11,1922.5,162525,0,0,0,0,0,0,0,0
"100 block martin st","100 block martin st",0,1,33,0,1.09090909090909,1925.45454545455,73661.9696969697,0,0,0,0,0,0,0,0
"100 block marvin rd","100 block marvin rd",0.130434782608696,0.869565217391304,23,23,1.04347826086957,1939.65217391304,61334.7826086957,0,0,0,0,0,0,0,0
"100 block mary st","100 block mary st",0.161290322580645,0.838709677419355,31,31,3.41935483870968,1910.38709677419,124219.35483871,93,0,31,124,0,0,0,248
"100 block massena st","100 block massena st",0,1,1,1,1,1900,30000,0,0,0,0,0,0,0,0
"100 block mather st","100 block mather st",0,1,33,33,1.66666666666667,1908.36363636364,56466.6666666667,33,33,33,66,0,0,33,198
"100 block matson av e","100 block matson av e",0.0434782608695652,0.956521739130435,23,23,1.08695652173913,1909.5652173913,47173.9130434783,0,0,0,23,0,0,0,23
"100 block matson av w","100 block matson av w",0.137931034482759,0.862068965517241,29,29,1.31034482758621,1927.31034482759,43986.2068965517,0,0,87,0,0,0,0,87
"100 block maurice av","100 block maurice av",0.176470588235294,0.823529411764706,17,17,1.35294117647059,1912.76470588235,46900,17,0,34,51,0,0,0,102
"100 block maxwell av","100 block maxwell av",0.166666666666667,0.833333333333333,18,18,1,1931.94444444444,45105.5555555556,0,0,18,0,0,0,0,18
"100 block may av","100 block may av",0.125,0.875,8,8,1.25,1916.25,40737.5,0,0,0,0,0,0,0,0
"100 block mayar st","100 block mayar st",0.03125,0.96875,32,0,1.15625,1910.6875,55121.875,0,0,32,32,0,0,0,64
"100 block maywood dr","100 block maywood dr",0,1,25,25,1,1958.96,76692,0,0,0,0,0,0,0,0
"100 block mcallister av","100 block mcallister av",0.307692307692308,0.692307692307692,13,13,1.69230769230769,1918.46153846154,30946.1538461538,0,0,13,26,0,13,0,52
"100 block mcchesney park dr","100 block mcchesney park dr",0,1,1,0,2,1915,75000,0,0,0,0,0,0,0,0
"100 block mcclure av","100 block mcclure av",0,1,5,5,1.6,1915.8,40860,5,0,0,0,0,0,0,5
"100 block mccormick av","100 block mccormick av",0,1,1,1,1,1920,14000,0,0,0,2,0,0,0,2
"100 block mcdonald rd","100 block mcdonald rd",0,1,4,0,1,1957,120100,0,0,0,0,0,0,0,0
"100 block mckinley av","100 block mckinley av",0.363636363636364,0.636363636363636,11,11,2.09090909090909,1920.90909090909,42254.5454545455,0,0,0,0,0,0,0,0
"100 block mclennan av","100 block mclennan av",0,1,12,12,1.66666666666667,1944.75,40566.6666666667,0,0,0,12,0,0,0,12
"100 block meadowbrook dr","100 block meadowbrook dr",0,1,5,0,1,1939.8,103600,0,0,5,5,0,0,0,10
"100 block medora pl","100 block medora pl",0,1,9,8,1.33333333333333,1927.88888888889,51233.3333333333,0,0,9,0,0,0,0,9
"100 block melbourne av","100 block melbourne av",0.0666666666666667,0.933333333333333,15,0,1,1946.53333333333,64293.3333333333,0,0,30,15,0,0,0,45
"100 block melrose av","100 block melrose av",0,1,12,0,1.83333333333333,1919,71766.6666666667,0,0,0,0,0,0,0,0
"100 block menlo dr","100 block menlo dr",0,1,2,2,1,1955,51400,0,0,0,0,0,0,0,0
"100 block merrell rd","100 block merrell rd",0.0666666666666667,0.933333333333333,15,0,1,1941.66666666667,74860,0,0,0,0,0,0,0,0
"100 block merrill st","100 block merrill st",0.0357142857142857,0.964285714285714,28,0,1.10714285714286,1925.92857142857,66475,0,0,28,0,0,0,0,28
"100 block merriman av","100 block merriman av",0.0769230769230769,0.923076923076923,13,13,1.53846153846154,1967,37446.1538461538,0,0,39,52,0,39,0,130
"100 block merritt av","100 block merritt av",0,1,25,0,1,1933.68,67012,25,0,25,0,0,0,0,50
"100 block merz av","100 block merz av",0,1,12,12,1.58333333333333,1911.33333333333,60483.3333333333,0,0,0,0,0,0,0,0
"100 block michael cir","100 block michael cir",0,1,5,0,1,1949.8,47400,0,0,0,0,0,0,0,0
"100 block michael circle","100 block michael circle",0,1,2,0,1,1949,47400,0,0,0,0,0,0,0,0
"100 block michaels av","100 block michaels av",0,1,11,0,1.27272727272727,1921.09090909091,68909.0909090909,0,0,0,22,0,0,0,22
"100 block midler av n","100 block midler av n",0.0476190476190476,0.952380952380952,21,0,2.14285714285714,1920.04761904762,69238.0952380952,21,0,0,21,0,0,0,42
"100 block midler av s","100 block midler av s",0.0357142857142857,0.964285714285714,28,0,1.35714285714286,1926.25,65728.5714285714,0,0,0,28,0,0,0,28
"100 block milburn dr","100 block milburn dr",0,1,8,8,2.5,1901.875,77262.5,0,0,0,8,0,0,0,8
"100 block mildred av","100 block mildred av",0.0384615384615385,0.961538461538462,26,0,1.61538461538462,1917.69230769231,70323.0769230769,0,0,0,26,0,0,0,26
"100 block miles av","100 block miles av",0,1,30,0,1.6,1921.23333333333,84823.3333333333,0,0,30,90,0,0,0,120
"100 block milford court","100 block milford court",0,1,2,0,1,1945,94500,0,0,0,0,0,0,0,0
"100 block milford ct","100 block milford ct",0.142857142857143,0.857142857142857,7,0,1,1932.85714285714,86542.8571428571,0,0,0,7,0,0,0,7
"100 block milford dr e","100 block milford dr e",0,1,16,0,1.625,1934.8125,97250,0,0,0,0,0,0,0,0
"100 block milford dr w","100 block milford dr w",0,1,19,0,1.05263157894737,1925.47368421053,88436.8421052632,0,0,0,0,0,0,0,0
"100 block milnor av","100 block milnor av",0.0588235294117647,0.941176470588235,34,0,1,1930.5,62152.9411764706,34,0,0,0,0,0,0,34
"100 block milton av","100 block milton av",0,1,14,0,1.5,1904.42857142857,69650,0,0,0,0,0,0,0,0
"100 block mineola dr","100 block mineola dr",0,1,6,0,1,1944.33333333333,107716.666666667,0,0,0,0,0,0,0,0
"100 block minerva st","100 block minerva st",0.0555555555555556,0.944444444444444,18,18,1.55555555555556,1926.83333333333,48322.2222222222,18,0,0,36,0,0,0,54
"100 block mitchell av","100 block mitchell av",0,1,5,5,1.2,1952.8,71640,0,0,0,0,0,0,0,0
"100 block montana st","100 block montana st",0,1,2,0,1.5,1915,66650,0,0,0,0,0,0,0,0
"100 block monticello dr n","100 block monticello dr n",0,1,9,9,1,1934.77777777778,65588.8888888889,0,0,0,0,0,0,0,0
"100 block monticello dr s","100 block monticello dr s",0,1,9,0,1.11111111111111,1932.77777777778,67711.1111111111,0,0,0,0,0,0,0,0
"100 block mooney av","100 block mooney av",0,1,17,0,1.47058823529412,1926.35294117647,62964.7058823529,0,0,0,0,0,0,0,0
"100 block moore av","100 block moore av",0,1,4,0,1,1947,41250,0,0,0,0,0,0,0,0
"100 block morey av","100 block morey av",0,1,1,1,1,1949,42900,0,0,0,0,0,0,0,0
"100 block morgan av","100 block morgan av",0,1,19,19,1,1912.42105263158,47915.7894736842,0,0,0,0,0,0,0,0
"100 block morningside terr","100 block morningside terr",0,1,1,0,1,1920,86000,0,0,0,0,0,0,0,0
"100 block morton av","100 block morton av",0,1,3,3,1,1966.66666666667,41000,0,0,0,0,0,0,0,0
"100 block mosley dr","100 block mosley dr",0,1,25,0,1.52,1933.24,85252,0,0,50,0,0,0,0,50
"100 block mountainview av","100 block mountainview av",0,1,10,10,1,1952.1,66280,0,0,0,0,0,0,0,0
"100 block munson dr","100 block munson dr",0,1,18,0,1,1960.55555555556,86916.6666666667,0,0,0,0,0,0,0,0
"100 block murray av","100 block murray av",0,1,16,0,1.4375,1911.8125,59431.25,16,0,16,16,0,0,16,64
"100 block myrtle av","100 block myrtle av",0,1,3,0,1,1947.66666666667,74000,0,0,0,0,0,0,0,0
"100 block nelson st","100 block nelson st",0.206896551724138,0.793103448275862,29,29,1.27586206896552,1901.1724137931,29051.724137931,87,0,58,29,0,0,0,174
"100 block neutral ct","100 block neutral ct",0.153846153846154,0.846153846153846,13,13,1.30769230769231,1905.07692307692,40869.2307692308,13,0,13,0,0,0,0,26
"100 block newell st e","100 block newell st e",1,0,2,2,1.5,1876,25500,0,0,0,0,0,0,0,0
"100 block newell st w","100 block newell st w",0.227272727272727,0.772727272727273,22,22,1.18181818181818,1915.86363636364,39627.2727272727,0,0,22,22,0,0,0,44
"100 block nichols av","100 block nichols av",0,1,29,0,1.24137931034483,1928.55172413793,71424.1379310345,0,0,0,87,0,0,0,87
"100 block niven st","100 block niven st",0.0344827586206897,0.96551724137931,29,29,1.13793103448276,1921.62068965517,62110.3448275862,0,0,0,29,0,0,0,29
"100 block norman av","100 block norman av",0,1,8,0,1,1951.5,67287.5,0,0,0,0,0,0,0,0
"100 block normanor dr","100 block normanor dr",0,1,23,0,1,1955.04347826087,63747.8260869565,0,0,0,46,0,0,0,46
"100 block north av","100 block north av",0,1,6,0,1.83333333333333,1926.66666666667,68250,0,0,0,0,0,0,0,0
"100 block norwood av","100 block norwood av",0.0526315789473684,0.947368421052632,19,0,1.15789473684211,1926.36842105263,61910.5263157895,0,0,0,0,0,0,0,0
"100 block nottingham rd","100 block nottingham rd",0,1,8,0,1,1939.625,99212.5,0,0,0,0,0,0,0,0
"100 block oak pl","100 block oak pl",0,1,6,6,3.66666666666667,1926.66666666667,79233.3333333333,0,0,0,6,0,0,0,6
"100 block oak st","100 block oak st",0,1,7,7,1.57142857142857,1951,48757.1428571429,21,0,7,0,0,0,0,28
"100 block oakdale dr","100 block oakdale dr",0,1,14,14,1,1935.85714285714,47300,0,0,0,0,0,0,0,0
"100 block oakland st","100 block oakland st",0,1,1,0,253,2011,22260000,0,0,0,0,0,0,0,0
"100 block oakley dr","100 block oakley dr",0,1,29,0,1,1939.62068965517,82044.8275862069,0,0,0,0,0,0,0,0
"100 block oberst st","100 block oberst st",0.625,0.375,8,8,1.25,1898.75,30475,0,0,0,0,0,0,0,0
"100 block olive st","100 block olive st",0,1,17,17,1.41176470588235,1912.88235294118,49364.7058823529,0,0,0,0,0,0,0,0
"100 block onondaga av","100 block onondaga av",0.166666666666667,0.833333333333333,18,18,3.88888888888889,1938.61111111111,68138.8888888889,0,0,0,36,0,0,0,36
"100 block orlando av","100 block orlando av",0.0769230769230769,0.923076923076923,13,13,1.30769230769231,1930.38461538462,57653.8461538462,0,0,0,0,0,0,0,0
"100 block orwood pl","100 block orwood pl",0,1,4,0,1,1931.5,59150,0,0,0,0,0,0,0,0
"100 block ostrander av e","100 block ostrander av e",0.181818181818182,0.818181818181818,11,11,1.09090909090909,1927.45454545455,42272.7272727273,0,0,0,0,0,0,0,0
"100 block ostrander av w","100 block ostrander av w",0.205882352941176,0.794117647058824,34,34,1.26470588235294,1908.97058823529,38558.8235294118,0,0,68,102,0,0,34,204
"100 block ostrom av","100 block ostrom av",0,1,2,1,3,1935,159500,0,0,0,0,0,0,0,0
"100 block oswego st","100 block oswego st",0.5,0.5,2,2,2,1907.5,20600,0,0,0,0,0,0,0,0
"100 block overlook dr","100 block overlook dr",0,1,4,0,1,1953.25,95600,0,0,0,0,0,0,0,0
"100 block pacific av","100 block pacific av",0,1,2,2,1,1950.5,57850,0,0,0,0,0,0,0,0
"100 block palmer av","100 block palmer av",0.25,0.75,20,20,1.45,1940.75,38000,0,0,0,0,0,0,0,0
"100 block palmer ln","100 block palmer ln",0,1,1,1,2,1890,50000,0,0,0,0,0,0,0,0
"100 block park av","100 block park av",0,1,2,2,3,1920,50000,0,0,2,0,0,0,0,2
"100 block park st","100 block park st",0,1,10,10,1.4,1904.3,72450,0,0,10,0,0,0,0,10
"100 block parkside av","100 block parkside av",0.0285714285714286,0.971428571428571,35,35,1.31428571428571,1922.51428571429,62014.2857142857,0,0,35,35,0,0,0,70
"100 block parkview av","100 block parkview av",0,1,5,5,2.4,1925,62000,0,0,0,5,0,0,0,5
"100 block parkway dr","100 block parkway dr",0.166666666666667,0.833333333333333,30,30,1.5,1922.8,52096.6666666667,0,0,60,0,0,0,0,60
"100 block parrish ln","100 block parrish ln",0,1,3,0,1,1953.66666666667,72333.3333333333,0,0,0,0,0,0,0,0
"100 block pattison st","100 block pattison st",0.153846153846154,0.846153846153846,13,13,2.07692307692308,1897.15384615385,59676.9230769231,0,0,0,0,0,0,0,0
"100 block paul av","100 block paul av",0.024390243902439,0.975609756097561,41,0,1.29268292682927,1920.60975609756,66429.2682926829,0,0,0,82,0,0,0,82
"100 block peck av","100 block peck av",0,1,43,0,1.53488372093023,1921.72093023256,72923.2558139535,0,0,0,129,0,0,43,172
"100 block pennsylvania av","100 block pennsylvania av",0,1,6,0,1.16666666666667,1909.16666666667,44500,0,0,0,0,0,0,0,0
"100 block pershing av","100 block pershing av",0,1,7,0,1,1908.57142857143,53842.8571428571,0,0,0,7,0,0,0,7
"100 block peters st","100 block peters st",0.0416666666666667,0.958333333333333,24,24,1.33333333333333,1908.54166666667,43875,0,0,0,48,0,24,0,72
"100 block pharis st","100 block pharis st",0.0588235294117647,0.941176470588235,17,15,1.29411764705882,1902,59576.4705882353,0,0,17,0,0,0,0,17
"100 block phelps pl","100 block phelps pl",0,1,4,0,1,1950.75,68925,0,0,0,0,0,0,0,0
"100 block phillips rd","100 block phillips rd",0,1,14,0,1,1951.57142857143,81278.5714285714,14,0,0,0,0,0,0,14
"100 block pierce st","100 block pierce st",0,1,16,16,1.0625,1948.625,44025,0,0,0,0,0,0,0,0
"100 block pleasant av w","100 block pleasant av w",0.05,0.95,20,20,1.1,1889,42035,0,0,20,0,0,0,0,20
"100 block pleasantview av","100 block pleasantview av",0,1,5,0,1.6,1918,79120,0,0,0,10,0,0,0,10
"100 block plum st","100 block plum st",0,1,1,1,1,1890,31000,0,0,0,1,0,0,0,1
"100 block plymouth dr","100 block plymouth dr",0,1,20,0,1,1941.3,88030,0,0,0,40,0,0,0,40
"100 block polk st","100 block polk st",0,1,12,0,12.5,1955.25,228433.333333333,12,0,12,48,0,0,0,72
"100 block pond ln","100 block pond ln",0.0833333333333333,0.916666666666667,12,12,1.58333333333333,1900.83333333333,46841.6666666667,0,0,0,0,0,0,0,0
"100 block pond st","100 block pond st",0.166666666666667,0.833333333333333,6,6,4,1903.33333333333,67950,0,0,0,0,0,6,0,6
"100 block pulaski st","100 block pulaski st",0,1,10,0,2.2,1916.9,49790,0,0,0,0,0,0,0,0
"100 block putnam st","100 block putnam st",0.136363636363636,0.863636363636364,22,22,1.45454545454545,1908.86363636364,30790.9090909091,22,0,0,0,0,0,0,22
"100 block radcliffe rd","100 block radcliffe rd",0,1,2,0,1,1960,78900,0,0,0,0,0,0,0,0
"100 block ramsey av","100 block ramsey av",0,1,20,0,1,1929.35,126190,0,0,0,0,0,0,0,0
"100 block randall av","100 block randall av",0.173913043478261,0.826086956521739,23,23,1.26086956521739,1930,35113.0434782609,0,0,0,0,0,0,0,0
"100 block rann av","100 block rann av",0,1,4,4,1,1900,29975,0,0,0,0,0,0,0,0
"100 block raymond av","100 block raymond av",0,1,6,6,1,1919,33966.6666666667,0,0,6,0,0,0,0,6
"100 block redfield pl","100 block redfield pl",0,1,17,0,1.88235294117647,1911.58823529412,141352.941176471,0,0,0,34,0,0,0,34
"100 block reed av","100 block reed av",0.0303030303030303,0.96969696969697,33,0,1.36363636363636,1922.33333333333,61660.6060606061,0,0,33,0,0,0,0,33
"100 block remington av","100 block remington av",0,1,4,0,87.25,1972.25,2139750,0,0,8,12,0,0,4,24
"100 block rich st","100 block rich st",0,1,4,4,1.5,1946.5,36025,0,0,0,0,0,0,0,0
"100 block richard rd","100 block richard rd",0,1,19,0,1,1977.21052631579,137036.842105263,0,0,0,0,0,0,0,0
"100 block richardson av","100 block richardson av",0.2,0.8,20,20,1.25,1913.15,35450,20,0,20,60,0,0,0,100
"100 block richfield av","100 block richfield av",0,1,13,0,1,1918.23076923077,68107.6923076923,0,0,0,0,0,0,0,0
"100 block richmond av","100 block richmond av",0,1,7,7,2.57142857142857,1891.71428571429,49000,0,0,0,7,0,0,0,7
"100 block rider av","100 block rider av",0,1,30,0,1.33333333333333,1921.9,54986.6666666667,0,0,0,0,0,0,0,0
"100 block ridgeway av","100 block ridgeway av",0,1,19,19,1,1934.89473684211,71505.2631578947,0,0,19,19,0,0,0,38
"100 block ridgewood dr","100 block ridgewood dr",0,1,10,0,1,1934.1,83080,0,0,0,0,0,0,0,0
"100 block rigi av","100 block rigi av",0.0476190476190476,0.952380952380952,21,0,1.42857142857143,1925.28571428571,72580.9523809524,0,0,0,21,0,0,0,21
"100 block rill av","100 block rill av",0,1,5,5,1,1962,56340,0,0,0,0,0,0,0,0
"100 block riverdale dr","100 block riverdale dr",0,1,2,0,31,1967.5,570000,4,0,2,2,0,2,0,10
"100 block robert dr","100 block robert dr",0,1,7,0,2,1970.71428571429,82142.8571428571,0,0,0,0,0,0,0,0
"100 block roberts av","100 block roberts av",0,1,1,0,2,1985,92600,0,0,0,2,0,0,0,2
"100 block robineau rd","100 block robineau rd",0,1,24,0,1.04166666666667,1925.08333333333,138896.666666667,0,0,0,0,0,0,0,0
"100 block robinson st","100 block robinson st",0,1,9,9,1.66666666666667,1882.88888888889,64011.1111111111,0,0,9,0,0,0,0,9
"100 block rockford rd","100 block rockford rd",0,1,3,0,1,1927,191000,0,0,0,0,0,0,0,0
"100 block rockland av","100 block rockland av",0.0714285714285714,0.928571428571429,14,14,1.14285714285714,1928.42857142857,37914.2857142857,0,0,14,0,0,0,0,14
"100 block rockwood pl","100 block rockwood pl",0,1,4,0,1,1968,208900,0,0,0,0,0,0,0,0
"100 block rockwood rd","100 block rockwood rd",0,1,3,0,1,1960,231666.666666667,0,0,0,3,0,0,0,3
"100 block roney rd","100 block roney rd",0.142857142857143,0.857142857142857,14,14,1.78571428571429,1930.85714285714,62100,14,0,0,0,0,0,0,14
"100 block roosevelt av","100 block roosevelt av",0,1,13,0,2.07692307692308,1931,88638.4615384615,0,0,13,26,0,0,0,39
"100 block rose av","100 block rose av",0,1,7,7,1.71428571428571,1953.71428571429,29514.2857142857,0,0,0,0,0,0,0,0
"100 block rosemont dr","100 block rosemont dr",0,1,12,0,1.33333333333333,1929.33333333333,58058.3333333333,0,0,12,0,0,0,0,12
"100 block rosewood st","100 block rosewood st",0.142857142857143,0.857142857142857,7,7,2.57142857142857,1907.28571428571,56828.5714285714,0,0,0,0,0,0,0,0
"100 block ross pk","100 block ross pk",0,1,32,0,1.375,1924,76882.03125,0,0,32,32,0,0,0,64
"100 block rowland st","100 block rowland st",0.166666666666667,0.833333333333333,6,6,1.83333333333333,1910.83333333333,36533.3333333333,0,0,0,0,0,0,0,0
"100 block roxbury rd","100 block roxbury rd",0,1,14,0,1,1927.07142857143,77464.2857142857,0,0,0,0,0,0,0,0
"100 block rugby rd","100 block rugby rd",0.0740740740740741,0.925925925925926,27,0,1,1920.03703703704,130503.703703704,0,0,27,54,0,0,0,81
"100 block ruskin av","100 block ruskin av",0.0526315789473684,0.947368421052632,19,0,1,1908.47368421053,122531.578947368,0,0,0,0,0,0,0,0
"100 block russell pl","100 block russell pl",0,1,9,9,1,1931.11111111111,58233.3333333333,0,0,0,9,0,0,0,9
"100 block ruth av","100 block ruth av",0,1,29,0,1.03448275862069,1945.6724137931,58922.4137931034,0,0,0,0,0,0,0,0
"100 block sabine st","100 block sabine st",0.333333333333333,0.666666666666667,12,12,2.08333333333333,1948.33333333333,41891.6666666667,0,0,0,0,0,12,24,36
"100 block salt springs rd","100 block salt springs rd",0,1,4,4,1.5,1901.5,52250,0,0,0,0,0,0,0,0
"100 block sand st","100 block sand st",0,1,5,5,1.2,1918,47400,0,0,0,0,0,0,0,0
"100 block saturn dr","100 block saturn dr",0,1,3,0,1,1993,194133.333333333,0,0,0,0,0,0,0,0
"100 block schiller av","100 block schiller av",0.0740740740740741,0.925925925925926,27,27,1.25925925925926,1903.77777777778,52059.2592592593,0,0,0,27,0,0,0,27
"100 block schneider st","100 block schneider st",0.0434782608695652,0.956521739130435,23,23,1.30434782608696,1898.82608695652,42113.0434782609,0,0,69,46,0,0,0,115
"100 block schoeck av","100 block schoeck av",0,1,12,0,1,1944.91666666667,95916.6666666667,0,0,0,0,0,0,0,0
"100 block schuler st","100 block schuler st",0,1,16,16,1.4375,1923.0625,60881.25,16,0,16,0,0,0,0,32
