"","block.address","Vacant_Pr","Occupied_Pr","NumofBuilding","SURA","Units","YearBuilt","AssessedVa","Aggravated.assault","Arson","Burglary","Larceny","Murder","Robbery","Vehicle.theft","Total"
"100 block clifton pl","100 block clifton pl",0.0681818181818182,0.931818181818182,44,0,1.11363636363636,1918.45454545455,75988.6363636364,0,0,0,88,0,0,0,88
"100 block clover st","100 block clover st",0,1,1,1,1,1900,27000,0,0,0,0,0,0,0,0
"100 block cloveridge dr","100 block cloveridge dr",0,1,16,0,1.0625,1943.125,69425,0,0,0,0,0,0,0,0
"100 block clyde av","100 block clyde av",0.0344827586206897,0.96551724137931,29,29,1.13793103448276,1924.34482758621,48527.5862068966,0,0,0,29,0,0,0,29
"100 block cody av","100 block cody av",0,1,8,0,1.125,1919.75,73112.5,0,0,0,0,0,0,0,0
"100 block coffee dr","100 block coffee dr",0.5,0.5,2,0,1,1904,34150,0,0,0,0,0,0,0,0
"100 block colby av","100 block colby av",0.0303030303030303,0.96969696969697,33,0,1,1949.54545454545,65081.8181818182,0,0,33,66,0,0,0,99
"100 block coldbrook dr","100 block coldbrook dr",0,1,1,0,1,1952,66100,0,0,0,0,0,0,0,0
"100 block coleridge av","100 block coleridge av",0,1,6,0,3.66666666666667,1920.66666666667,112400,0,0,0,0,0,0,0,0
"100 block collingwood av n","100 block collingwood av n",0,1,21,0,1.33333333333333,1920.04761904762,58619.0476190476,0,0,0,42,0,0,0,42
"100 block collingwood av s","100 block collingwood av s",0,1,29,0,1.89655172413793,1932.41379310345,76782.7586206897,29,0,58,0,0,0,29,116
"100 block columbia av","100 block columbia av",0,1,21,0,1.14285714285714,1926.14285714286,93142.8571428571,0,0,0,0,0,0,0,0
"100 block colvin st e","100 block colvin st e",0.333333333333333,0.666666666666667,3,3,3,1913.33333333333,56333.3333333333,3,0,0,3,0,0,0,6
"100 block colvin st w","100 block colvin st w",0,1,1,1,2,1930,36000,0,0,0,1,0,0,0,1
"100 block commonwealth av","100 block commonwealth av",0.5,0.5,2,2,1.5,1934.5,31125,2,0,0,0,0,0,0,2
"100 block comstock av","100 block comstock av",0,1,10,8,6.6,1934.3,260700,0,0,10,30,0,0,0,40
"100 block comstock pl","100 block comstock pl",0,1,5,2,1.6,1931.2,110660,0,0,10,5,0,0,5,20
"100 block comstock pl at ostrom av","100 block comstock pl at ostrom av",0,1,1,0,5,1930,97400,0,0,0,0,0,0,0,0
"100 block conan st","100 block conan st",0,1,13,13,1,1953.46153846154,46484.6153846154,0,0,0,0,0,0,0,0
"100 block concord pl","100 block concord pl",0,1,22,0,1.22727272727273,1914.31818181818,113436.363636364,0,0,0,22,0,0,0,22
